Time [s],Channel 0,Channel 1,Channel 2,Channel 3,Channel 4,Channel 5,Channel 6,Channel 7
25.877521083,0,0,0,0,1,1,0,1
25.877578958,0,0,0,0,1,0,0,1
25.877579500,0,1,0,0,1,0,0,1
25.877634625,0,0,0,0,1,0,0,1
25.877691500,0,0,0,0,1,1,0,1
25.877693000,0,1,0,0,1,1,0,1
25.877694417,1,1,0,0,1,1,0,1
25.877748167,1,0,0,0,1,1,0,1
25.877806083,1,0,0,0,1,0,0,1
25.877806583,1,1,0,0,1,0,0,1
25.877861750,1,0,0,0,1,0,0,1
25.877918625,1,0,0,0,1,1,0,1
25.877920125,1,1,0,0,1,1,0,1
25.877975292,1,0,0,0,1,1,0,1
25.878033667,1,1,0,0,1,1,0,1
25.878037583,0,1,0,0,1,1,0,1
25.878088833,0,0,0,0,1,1,0,1
25.878146708,0,0,0,0,1,0,0,1
25.878147250,0,1,0,0,1,0,0,1
25.878148667,1,1,0,0,1,0,0,1
25.878202375,1,0,0,0,1,0,0,1
25.878212583,1,0,0,0,1,1,0,1
25.878218333,1,0,0,0,1,0,0,1
25.878238167,1,0,0,1,1,0,0,1
25.878277083,1,0,0,1,1,1,0,1
25.878325750,1,0,0,0,1,1,0,1
25.878415125,1,0,0,0,1,0,0,1
25.878486375,1,0,0,0,1,1,0,1
25.878487875,1,1,0,0,1,1,0,1
25.878491833,0,1,0,0,1,1,0,1
25.878543042,0,0,0,0,1,1,0,1
25.878601458,0,1,0,0,1,1,0,1
25.878656625,0,0,0,0,1,1,0,1
25.878715000,0,1,0,0,1,1,0,1
25.878716417,1,1,0,0,1,1,0,1
25.878770167,1,0,0,0,1,1,0,1
25.878828042,1,0,0,0,1,0,0,1
25.878828583,1,1,0,0,1,0,0,1
25.878832500,0,1,0,0,1,0,0,1
25.878883708,0,0,0,0,1,0,0,1
25.878942125,0,1,0,0,1,0,0,1
25.878943542,1,1,0,0,1,0,0,1
25.878997250,1,0,0,0,1,0,0,1
25.879055667,1,1,0,0,1,0,0,1
25.879059583,0,1,0,0,1,0,0,1
25.879110833,0,0,0,0,1,0,0,1
25.879169208,0,1,0,0,1,0,0,1
25.879224375,0,0,0,0,1,0,0,1
25.879281250,0,0,0,0,1,1,0,1
25.879282750,0,1,0,0,1,1,0,1
25.879284167,1,1,0,0,1,1,0,1
25.879337917,1,0,0,0,1,1,0,1
25.879353958,1,0,0,0,1,0,0,1
25.879374417,1,0,0,1,1,0,0,1
25.879445875,1,0,0,1,1,1,0,1
25.879622542,1,0,0,0,1,1,0,1
25.879737000,1,1,0,0,1,1,0,1
25.879740875,0,1,0,0,1,1,0,1
25.879792125,0,0,0,0,1,1,0,1
25.879850542,0,1,0,0,1,1,0,1
25.879851958,1,1,0,0,1,1,0,1
25.879905708,1,0,0,0,1,1,0,1
25.879964083,1,1,0,0,1,1,0,1
25.880019250,1,0,0,0,1,1,0,1
25.880077125,1,0,0,0,1,0,0,1
25.880077667,1,1,0,0,1,0,0,1
25.880132792,1,0,0,0,1,0,0,1
25.880191208,1,1,0,0,1,0,0,1
25.880246333,1,0,0,0,1,0,0,1
25.880304750,1,1,0,0,1,0,0,1
25.880359917,1,0,0,0,1,0,0,1
25.880416792,1,0,0,0,1,1,0,1
25.880418292,1,1,0,0,1,1,0,1
25.880473458,1,0,0,0,1,1,0,1
25.880531333,1,0,0,0,1,0,0,1
25.880531875,1,1,0,0,1,0,0,1
25.880587000,1,0,0,0,1,0,0,1
25.880597208,1,0,0,0,1,1,0,1
25.880602958,1,0,0,0,1,0,0,1
25.880617042,1,0,0,1,1,0,0,1
25.880645917,1,0,0,1,1,1,0,1
25.880700833,1,0,0,0,1,1,0,1
25.880786375,1,0,0,0,1,0,0,1
25.880871000,1,0,0,0,1,1,0,1
25.880872500,1,1,0,0,1,1,0,1
25.880876417,0,1,0,0,1,1,0,1
25.880927667,0,0,0,0,1,1,0,1
25.880985542,0,0,0,0,1,0,0,1
25.880986083,0,1,0,0,1,0,0,1
25.881041208,0,0,0,0,1,0,0,1
25.881099625,0,1,0,0,1,0,0,1
25.881154792,0,0,0,0,1,0,0,1
25.881213167,0,1,0,0,1,0,0,1
25.881214625,1,1,0,0,1,0,0,1
25.881268333,1,0,0,0,1,0,0,1
25.881326750,1,1,0,0,1,0,0,1
25.881381875,1,0,0,0,1,0,0,1
25.881440292,1,1,0,0,1,0,0,1
25.881495458,1,0,0,0,1,0,0,1
25.881553833,1,1,0,0,1,0,0,1
25.881557750,0,1,0,0,1,0,0,1
25.881609000,0,0,0,0,1,0,0,1
25.881667417,0,1,0,0,1,0,0,1
